one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eightteen,nineteen,twenty,twentyone,twentytwo,twentythree,twentyfour,twentyfive
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
1132.1234,435345.1234,3463246.1234,245231423.1234,54435.1234,34262345.1234,4325423.1234,4235.1234,4352345.1234,23432.1234,5435.1234,2345234.1234,32.1234,34535.1234,43262.1234,345324.1234,234.1234,235432.1234,64567.1234,547.1234,54643.1234,5234.1234,2342.1234,342.1234,34523.12534634
